Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Корм для кошек ФЕЛИКС, Индейка, 85г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек ФЕЛИКС, Говядина, 85г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек FELIX® Мясные ломтики с курицей, 75г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек ФЕЛИКС, Кролик, 85г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек ФЕЛИКС, Говядина/птица, 85г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек FELIX® Мясные ломтики с курицей, 75г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек ФЕЛИКС, Курица, 85г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Корм для кошек FELIX® Мясные ломтики с говядиной, 75г",30. 00,17.99,−40%,с 06 апреля до 12 апреля
"Батончик ФИТНЕСС злаковый шоколад-банан, 23,5г",47. 60,19.99,−58%,с 06 апреля до 12 апреля
"Йогурт ДАНОН, Клубника, 2,9%, 110г",27. 80,21.99,−21%,с 06 апреля до 12 апреля
"Йогурт ДАНОН, персик, 2,9%, 110г",27. 80,21.99,−21%,с 06 апреля до 12 апреля
"АКТИМЕЛЬ Клубника, 100г",32. 80,22.99,−30%,с 06 апреля до 12 апреля
"Напиток кисломолочный АКТИМЕЛЬ, Гранат, 100г",32. 80,22.99,−30%,с 06 апреля до 12 апреля
"Суп МАГГИ®, Горячая кружка, Грибной с сухариками, 20г",25. 00,22.99,−28%,с 06 апреля до 12 апреля
"Суп МАГГИ®, Горячая кружка, Гороховый с сухариками, 19г",27. 00,22.99,−15%,с 06 апреля до 12 апреля
"АКТИМЕЛЬ Клубника, 100г",32. 80,22.99,−30%,с 06 апреля до 12 апреля
"Суп МАГГИ®, Горячая кружка, Куриный с сухариками, 19г",27. 00,22.99,−15%,с 06 апреля до 12 апреля
"Напиток кисломолочный АКТИМЕЛЬ, Гранат, 100г",32. 80,22.99,−30%,с 06 апреля до 12 апреля
"Суп МАГГИ®, Горячая кружка, Грибной с сухариками, 20г",27. 00,22.99,−15%,с 06 апреля до 12 апреля
"Батончики РОТ ФРОНТ, цена за 100 г",50. 00,24.99,−50%,с 06 апреля до 12 апреля
"Батончики РОТ ФРОНТ, цена за 100 г",49. 90,24.99,−50%,с 06 апреля до 12 апреля
"Приправа ВОСТОЧНЫЙ ГОСТЬ, к рыбе, 40г",35. 10,26.99,−23%,с 06 апреля до 12 апреля
"Приправа ВОСТОЧНЫЙ ГОСТЬ, к рыбе, 40г",35. 10,26.99,−23%,с 06 апреля до 12 апреля
"Вода питьевая BILLAGI® негазированная, 1,5л",50. 00,32.99,−34%,с 06 апреля до 12 апреля
"Гренки КРУТЕЦ ржаные Томат спайси, 80г",44. 90,34.99,−22%,с 06 апреля до 12 апреля
"Батончик НЕСКВИК, 43г",43. 20,34.99,−19%,с 06 апреля до 12 апреля
"Десерт ФАРАДЕЛЛА (Акконд), цена за 100 г",52. 20,35.99,−31%,с 06 апреля до 12 апреля
"Карандаши цветные, 12цветов",59. 99,39.99,−33%,с 10 марта до 06 апреля
"Губка МАКСИМА, Фрекен Бок, для посуды, 5шт",52. 99,39.99,−25%,с 10 марта до 06 апреля
"Шоколад РОССИЯ, Кофе с молоком, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Чай черный ЛИСМА, крепкий, 25 пакетиков",50. 00,39.99,−20%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Карамель/арахис, 90г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад РОССИЯ, Кофе с молоком, 90г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад РОССИЯ, Молочный пористый, 82г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, 90г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Миндаль/вафля, 90г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Пористый белый, 82г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Карамель/арахис, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Миндаль/изюм, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Шоколад РОССИЯ, с кокосом/вафлей, 90г",80. 00,39.99,−50%,с 06 апреля до 12 апреля
"Шоколад РОССИЯ, Молочный пористый, 82г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Пористый белый, 82г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Фундук/изюм, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Крендельки МОЯ ЦЕНА традиционные соленые, 250г",50. 60,39.99,−21%,с 06 апреля до 12 апреля
"Шоколад РОССИЯ, с кокосом/вафлей, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, Миндаль/вафля, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Шоколад молочный РОССИЯ, 90г",100. 00,39.99,−60%,с 06 апреля до 12 апреля
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН, китайский, 20пакетиков",47. 70,41.99,−12%,с 06 апреля до 12 апреля
"Крекер ЛЮБЯТОВО, Янтарный с сыром, 235г",59. 10,41.99,−29%,с 06 апреля до 12 апреля
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН, китайский, 20пакетиков",47. 70,41.99,−12%,с 06 апреля до 12 апреля
"Лапша ДОШИРАК, Говядина, 90г",55. 10,42.99,−22%,с 06 апреля до 12 апреля
"Лапша ДОШИРАК, Говядина, 90г",55. 10,42.99,−22%,с 06 апреля до 12 апреля
"Лапша ДОШИРАК, со вкусом морепродуктов, 90г",55. 10,42.99,−22%,с 06 апреля до 12 апреля
"Лапша ДОШИРАК, со вкусом морепродуктов, 90г",55. 10,42.99,−22%,с 06 апреля до 12 апреля
"Приправа МАГГИ® на Второе, для гречки по-купечески, 41г",50. 00,43.99,−12%,с 06 апреля до 12 апреля
"Смесь приправ МАГГИ, на второе, для макарон в сливочном соусе Карбонара, 30г",51. 80,43.99,−15%,с 06 апреля до 12 апреля
"Соус МАГГИ®, Макарономания, Болонез., 30г",50. 00,43.99,−12%,с 06 апреля до 12 апреля
"Приправа МАГГИ® на Второе, для гречки по-купечески, 41г",51. 80,43.99,−15%,с 06 апреля до 12 апреля
"Соус МАГГИ®, Макарономания, Болонез., 30г",51. 80,43.99,−15%,с 06 апреля до 12 апреля
"Смесь приправ МАГГИ На второе для макарон в красном соусе, 24г",51. 80,43.99,−15%,с 06 апреля до 12 апреля
"Пиво КАРЛСБЕРГ Пильзнер светлое безалкогольное, 0,45л",52. 90,44.99,−15%,с 06 апреля до 12 апреля
"Пиво КАРЛСБЕРГ Пильзнер светлое безалкогольное, 0,45л",52. 90,44.99,−15%,с 06 апреля до 12 апреля
"Баранки ЧУДЕСНЫЙ КРАЙ традиционные с горчицей, 350г",54. 20,44.99,−17%,с 06 апреля до 12 апреля
"Печенье LUCKY DAYS овсяное классическое, 300г",56. 90,44.99,−21%,с 06 апреля до 12 апреля
"Баранки ЧУДЕСНЫЙ КРАЙ традиционные с горчицей, 350г",54. 20,44.99,−17%,с 06 апреля до 12 апреля
"Средство чистящее ПЕМОЛЮКС, Антибактериальный, 480г",79. 30,45.99,−42%,с 06 апреля до 12 апреля
"Средство чистящее ПЕМОЛЮКС, Лимон, 480г",79. 30,45.99,−42%,с 06 апреля до 12 апреля
"Средство чистящее ПЕМОЛЮКС, Яблоко, 480г",79. 30,45.99,−42%,с 06 апреля до 12 апреля
"Пивной напиток ХЕЙНЕКЕН пастеризованный безалкогольный, 0,43л",66. 20,46.99,−29%,с 06 апреля до 12 апреля
"Вафли ЯШКИНО Вафельный сэндвич с воздушной начинкой, 180г",61. 80,46.99,−25%,с 06 апреля до 12 апреля
"Пряники LUCKY DAYS®, Черная смородина, 300г",56. 60,46.99,−17%,с 06 апреля до 12 апреля
"Пивной напиток ХЕЙНЕКЕН пастеризованный безалкогольный, 0,43л",66. 70,47.99,−28%,с 06 апреля до 12 апреля
"Семечки ОТ МАРТИНА, Жареные, 100г",60. 00,47.99,−20%,с 06 апреля до 12 апреля
"Семечки ОТ МАРТИНА, Жареные, 100г",60. 00,47.99,−20%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом, киви, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом и шоколадом, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Творожный продукт ДАНИССИМО слива/заварной крем, 5,7%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом и шоколадом, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом и хрустящими шариками, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО, Фисташковое мороженое, 6,5%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО, грецкий орех и кленовый сироп, 5,9%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом, черника, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом и хрустящими шариками, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом, киви, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО с апельсином/крошкой шоколада, 5,8%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО клубника 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО, Фисташковое мороженое, 6,5%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Творожный продукт ДАНИССИМО абрикос/ваниль, 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Творожный продукт ДАНИССИМО банан/карамель/кофе, 5,8%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО с апельсином/крошкой шоколадной, 5,8%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО, грецкий орех и кленовый сироп, 5,9%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Творожок ДАНИССИМО тропическое манго-маракуйя 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт ДАНИССИМО, с творожным кремом, черника, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Творожок ДАНИССИМО тропическое манго-маракуйя 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт творожный ДАНИССИМО Вишня-маскарпоне 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Десерт творожный ДАНИССИМО Вишня-маскарпоне 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Продукт творожный ДАНИССИМО клубника 5,6%, 130г",65. 30,48.99,−25%,с 06 апреля до 12 апреля
"Печенье овсяное LUCKY DAYS® классическое, 310г",64. 10,49.99,−22%,с 06 апреля до 12 апреля
"Напиток энергетический ФЛЭШ АП, 450мл",64. 90,49.99,−23%,с 06 апреля до 12 апреля
"Напиток энергетический ФЛЭШ АП ягоды, 450мл",64. 90,49.99,−23%,с 06 апреля до 12 апреля
"Шоколад РОССИЙСКИЙ, горький, 70% какао, 90г",80. 60,49.99,−38%,с 06 апреля до 12 апреля
"Лавровый лист КАМИС, 5г",63. 30,49.99,−19%,с 06 апреля до 12 апреля
"Корица КАМИС, Молотая, 15г",63. 30,49.99,−19%,с 06 апреля до 12 апреля
"Шоколад РОССИЙСКИЙ, темный, с фундуком и печеньем, 90г",80. 60,49.99,−38%,с 06 апреля до 12 апреля
"Лавровый лист КАМИС, 5г",61. 70,49.99,−19%,с 06 апреля до 12 апреля
"Колечки глазированные СКРЕПЫШИ/ПРАЗДНИК СЛАСТЕНЫ, 250г",70. 40,49.99,−29%,с 06 апреля до 12 апреля
"Корица КАМИС, Молотая, 15г",61. 70,49.99,−19%,с 06 апреля до 12 апреля
"Шоколад РОССИЙСКИЙ, темный, 90г",98. 00,49.99,−49%,с 06 апреля до 12 апреля
"Шоколад РОССИЙСКИЙ, темный, 90г",80. 60,49.99,−38%,с 06 апреля до 12 апреля
"Шоколад РОССИЙСКИЙ, Темный с миндалем, 90г",98. 00,49.99,−49%,с 06 апреля до 12 апреля
"Пиво ОХОТА, крепкое, светлое, 8,1 %, 0,43 л",60. 20,49.99,−17%,с 06 апреля до 12 апреля
"Шоколад РОССИЙСКИЙ, Темный с миндалем, 90г",80. 60,49.99,−38%,с 06 апреля до 12 апреля
"Пиво ОХОТА, крепкое, светлое, 8,1 %, 0,43 л",60. 20,49.99,−17%,с 06 апреля до 12 апреля
"Пиво ТУБОРГ ГРИН, Светлое, фильтрованное, 4,6%, 0,45л",83. 90,51.99,−38%,с 06 апреля до 12 апреля
"Пиво ТУБОРГ ГРИН, Светлое, 4,6%, 0,48л",83. 90,51.99,−38%,с 06 апреля до 12 апреля
"Пиво ТУБОРГ ГРИН, Светлое, фильтрованное, 4,6%, 0,45л",83. 90,51.99,−38%,с 06 апреля до 12 апреля
"Пиво AMSTEL Premium Pilsener, светлое, 4,8 %, 0,43 л",65. 80,51.99,−21%,с 06 апреля до 12 апреля
"Пиво АМСТЕЛ, Премиум Пилснер, светлое фильтрованное, 4,8%, 0,45л",65. 80,51.99,−21%,с 06 апреля до 12 апреля
"Пиво AMSTEL Premium Pilsener, светлое, 4,8 %, 0,43 л",65. 50,51.99,−21%,с 06 апреля до 12 апреля
"Пиво ТУБОРГ ГРИН, Светлое, 4,6%, 0,48л",83. 90,51.99,−38%,с 06 апреля до 12 апреля
"Сметана ПРОСТОКВАШИНО, 10 %, 300 г",73. 99,54.99,−26%,с 06 апреля до 12 апреля
"Вафли ЯШКИНО Вафельный сэндвич с воздушной начинкой, 180г",78. 60,54.99,−30%,с 06 апреля до 12 апреля
"Зефир LUCKY DAYS® ваниль глазированный, 175г",64. 70,54.99,−15%,с 06 апреля до 12 апреля
"Зефир LUCKY DAYS® ваниль глазированный, 175г",64. 70,54.99,−15%,с 06 апреля до 12 апреля
"Пивной напиток РЕДДС, 0,33л",73. 30,54.99,−25%,с 06 апреля до 12 апреля
Перчатки садовые с нитриловым покрытием,69. 99,55.99,−20%,с 10 марта до 06 апреля
"Печенье ЮБИЛЕЙНОЕ Витаминное молочное с глазурью, 232г",90. 30,55.99,−35%,с 06 апреля до 12 апреля
"Печенье ЮБИЛЕЙНОЕ Витаминное молочное с глазурью, 232г",86. 10,55.99,−35%,с 06 апреля до 12 апреля
"Печенье ЮБИЛЕЙНОЕ витаминное с глазурью, 232г",88. 90,55.99,−35%,с 06 апреля до 12 апреля
"Печенье ЮБИЛЕЙНОЕ витаминное с глазурью, 232г",86. 10,55.99,−35%,с 06 апреля до 12 апреля
"Печенье АРОМАТ, Топленое молоко (Белогорье), 340г",87. 70,56.99,−29%,с 06 апреля до 12 апреля
"Сметана ПРОСТОКВАШИНО, 10 %, 300 г",73. 99,57.99,−22%,с 06 апреля до 12 апреля
"Печенье АРОМАТ, Топленое молоко (Белогорье), 340г",95. 20,59.99,−37%,с 06 апреля до 12 апреля
"Шоколад молочный АЛЕНКА, с фундуком, 100г",103. 40,59.99,−42%,с 06 апреля до 12 апреля
"Килька ЗНАК КАЧЕСТВА обжаренная в томатном соусе, 240г",76. 90,59.99,−22%,с 06 апреля до 12 апреля
Подвязка для растений джут 50м,79. 99,59.99,−25%,с 10 марта до 06 апреля
"Шоколад АЛЕНКА, с разноцветным драже, 100г",103. 40,59.99,−42%,с 06 апреля до 12 апреля
"Килька ЗНАК КАЧЕСТВА обжаренная в томатном соусе, 240г",76. 90,59.99,−22%,с 06 апреля до 12 апреля
"Шоколад молочный АЛЕНКА, с фундуком, 100г",100. 00,59.99,−42%,с 06 апреля до 12 апреля
"Шоколад АЛЕНКА, Много молока, 100г",103. 40,59.99,−42%,с 06 апреля до 12 апреля
"Шоколад АЛЕНКА, молочный, 100г",103. 40,59.99,−42%,с 06 апреля до 12 апреля
"Шоколад АЛЕНКА, молочный, 100г",100. 00,59.99,−42%,с 06 апреля до 12 апреля
"Контейнер для СВЧ, Премиум, 750мл",89. 99,59.99,−33%,с 10 марта до 06 апреля
"Печенье овсяное ХЛЕБНЫЙ СПАС, Особое, 250г",80. 00,59.99,−25%,с 06 апреля до 12 апреля
"Шоколад АЛЕНКА, с разноцветным драже, 100г",100. 00,59.99,−42%,с 06 апреля до 12 апреля
"Пиво ХОЛЬСТЕН, Светлое фильтрованное, пастеризованное, 4,8%, 0,45л",93. 70,59.99,−36%,с 06 апреля до 12 апреля
"Шоколад АЛЕНКА, Много молока, 100г",100. 00,59.99,−42%,с 06 апреля до 12 апреля
"Коктейль йогуртный ДАНИССИМО ананас-экстракт вербены-дыня 2,7%, 190г",78. 00,63.99,−18%,с 06 апреля до 12 апреля
"Коктейль йогуртный ДАНИССИМО черная смородина 2,7%, 190г",78. 00,63.99,−18%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный-горький карамель-брауни, 80г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА, белый, дуэт в карамельном, 85г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА, молочный, дуэт в молочном, 85г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА, белый, дуэт в клубничном, 85г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный-белый карамель и соленый арахис, 80г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный-белый кокос, 80г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный с фундуком, 80г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА, белый, дуэт в клубничном, 85г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Печенье овсяное ПОСИДЕЛКИНО, Топленое молоко, 310г",90. 30,64.99,−28%,с 06 апреля до 12 апреля
"Печенье овсяное ПОСИДЕЛКИНО, Топленое молоко, 310г",91. 50,64.99,−28%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный-горький карамель-брауни, 80г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный-белый кокос, 80г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный и белый с кофе, 80г",129. 98,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный и белый с кофе, 80г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный и темный с миндалем, 80г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА молочный с фундуком, 80г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА, молочный, дуэт в молочном, 85г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Шоколад ЗОЛОТАЯ МАРКА, белый, дуэт в карамельном, 85г",110. 20,64.99,−50%,с 06 апреля до 12 апреля
"Десерт BIONERGY банан/яблоко/черная смородина/голубика, 140г",81. 50,65.99,−19%,с 06 апреля до 12 апреля
"Десерт BIONERGY Фруктовый микс груша/банан/манго, 140г",81. 50,65.99,−19%,с 06 апреля до 12 апреля
"Печенье МАЛЫШОК, ПРАЗДНИК СЛАСТЁНЫ, 350г",87. 20,67.99,−22%,с 06 апреля до 12 апреля
"Печенье МАЛЫШОК, ПРАЗДНИК СЛАСТЁНЫ, 350г",87. 20,67.99,−22%,с 06 апреля до 12 апреля
"Солянка ГЛАВСУП по-домашнему, 250г",100. 00,69.99,−30%,с 06 апреля до 12 апреля
"Солянка ГЛАВСУП по-домашнему, 250г",98. 60,69.99,−29%,с 06 апреля до 12 апреля
"Соус СЛОБОДА, Сырный, 220г",104. 50,69.99,−33%,с 06 апреля до 12 апреля
"Салфетка ФРЕКЕН БОК Фламенко вискоза 12х3,5, 5 шт",93. 99,69.99,−26%,с 10 марта до 06 апреля
"Соус СЛОБОДА, Грибной, 220г",104. 50,69.99,−33%,с 06 апреля до 12 апреля
"Контейнер Премиум, 1,2 л (Полимербыт)",94. 99,69.99,−26%,с 10 марта до 06 апреля
"Паштет ХАМЕ, с телятиной, 105г",100. 00,69.99,−30%,с 06 апреля до 12 апреля
"Корзинка универсальная СКАНДИ, 1,2л",89. 99,69.99,−22%,с 10 марта до 06 апреля
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН крупнолистовой молочный улун, 100г",80. 00,71.99,−10%,с 06 апреля до 12 апреля
"Кольца луковые РУССКАРТ золотые Сметана-лук, 100г",90. 00,71.99,−20%,с 06 апреля до 12 апреля
"Семечки подсолнечника ЗОЛОТАЯ СЕМЕЧКА, Жареные, 200г",90. 00,71.99,−20%,с 06 апреля до 12 апреля
"Семечки подсолнечника ЗОЛОТАЯ СЕМЕЧКА, Жареные, 200г",90. 00,71.99,−20%,с 06 апреля до 12 апреля
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН крупнолистовой молочный улун, 100г",80. 00,71.99,−10%,с 06 апреля до 12 апреля
"Горошек зеленый ШЕСТЬ СОТОК, 400г",93. 70,73.99,−21%,с 06 апреля до 12 апреля
"Кукуруза сладкая ШЕСТЬ СОТОК, 340г",93. 70,73.99,−21%,с 06 апреля до 12 апреля
"Хлебцы ЩЕДРЫЕ, Ржано-пшеничные с кунжутом, 200г",107. 10,74.99,−26%,с 06 апреля до 12 апреля
"Борщ БУЗДЯКСКИЙ, 500г",100. 00,74.99,−25%,с 06 апреля до 12 апреля
"Напиток газированный ФАНТОЛА Спейс кау, 1л",94. 90,74.99,−21%,с 06 апреля до 12 апреля
"Коктейль МОХИТО клубника газированный 7,2%, 0,45л",93. 70,74.99,−20%,с 06 апреля до 12 апреля
"Напиток газированный ФАНТОЛА Попкорн, 1л",94. 90,74.99,−21%,с 06 апреля до 12 апреля
"Пакеты для мусора ФРЕКЕН БОК ароматизированные 60л, 10шт.",99. 99,74.99,−25%,с 10 марта до 06 апреля
"Борщ БУЗДЯКСКИЙ, 500г",100. 00,74.99,−25%,с 06 апреля до 12 апреля
